ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
1001BEABFF	TILJSZO	LJSZ	*p5{LJSZ=1}	CFC000CFC000CF3FFFFC3FFCFFFFF3F3CFFFFFFFFF0FFF3C0000FFF3FFFF000000000FFFFC3FFC000000CFC000		v115@9gQ4BtGeR4BtDehlg0Q4Gegli0FeglJeAgH9gwDBPD?eR4AtRaBPBeR4hlAewDFeAtBehHDehlKeAgH		[^LJSZ]!,*p4	89.72%	4522/5040	NULL
1001BEAEFD	TILJSZO	LJSO	*p5{LJSO=1}	0C003F0C003F0C3000FC003F0FFFFF000000FC000003FFFF000000FC000003FFFF0C003FFFFFFFFFFFFFFFFFFF		v115@Ehi0glFeR4g0glEeR4RphlFeRpJeAgH		[^LJSO]!,*p4	94.60%	4768/5040	1001BEBAFD
1001BEAEFE	TILJSZO	LJSO	*p5{LJSO=1}	00710000710000001CFC07000000001C701CFD477F1FFFFF10401C01477F1000FC00710000000003FFFF003F00		v115@EhilGeglRpBeR4Ceg0RpAeR4Dei0JeAgH		[^LJSO]!,*p4	92.86%	4680/5040	1001BEBAFE
1001BEAEFF	TILJSZO	LJSO	*p5{LJSO=1}	CBF02CCBF02CCB2FFFFC3F0ECABF3AFFFFFFFFFFFFFFFFFF0000FC3BFFFF000EFCCBF02CB2CAFCEBFFFF03BF2C		v115@9gQ4IeR4Fehlg0Q4EeRpgli0DeRpglJeAgH		[^LJSO]!,*p4	92.90%	4682/5040	1001BEBAFF
1001BEBAFD	TILJSZO	LJZO	*p5{LJZO=1}	00303F00303F000000FC000003FFFF0C3000FC3000FFFFFF00303F00000000003F03FFFFFFFFFFFFFFFFFFFFFF		v115@9gilGeglBtFeg0RpBtEeg0RpFeh0JeAgH		[^LJZO]!,*p4	94.64%	4770/5040	1001BEAEFD
1001BEBAFE	TILJSZO	LJZO	*p5{LJZO=1}	1C04001C04001C7007FC751DFFFFFF000007FC001C0000001C040041051DFC0700403F00000FFFFC0000003F00		v115@9gi0GeRpg0GeRpglCeBtBeilDeBtKeAgH		[^LJZO]!,*p4	92.86%	4680/5040	1001BEAEFE
1001BEBAFF	TILJSZO	LJZO	*p5{LJZO=1}	FF2038FF2038FFFFFFFFFFFFFFFFFFCB2FFFFF20FC3ABF8EFF2038000FFFFC3F0E003F38E38FFFFEBF8EE03F38		v115@GhAth0FeBtg0RpEeAtglg0RpDeilJeAgH		[^LJZO]!,*p4	92.82%	4678/5040	1001BEAEFF
1001BEEAFC	TILJSZO	LSZO	[LSZO]!{L<Z||LZ<S},[TIJ]!,*p3{ILZ=1||I[LJ]O=1}	1	1001FEFAFC	v115@EhR4AtFeR4BtRpFeAtglRpEeilJeAgH		[TIJ]!,*p4{3:(ILZ=1||I[LJ]O=1)}	100.00%	432/432	1001BFAAFC
1001BEEAFD	TILJSZO	LSZO	[LSZO]!{L<Z||LZ<S},[TIJ]!,*p3{!I[LJ][ZO]=1||(IJZ=1&&/^J/)}	1	1001FEFAFC	v115@GhAtHeBtRpDeR4AtglRpCeR4ilJeAgH		[TIJ]!,*p4{3:(!I[LJ][ZO]=1||(IJZ=1&&/^J/))}	100.00%	4560/4560	1001BFAAFD
1001BEEAFE	TILJSZO	LSZO	*p5{LSZO=1}	FF2038FF2038FFFFFFFFFFFFFFFFFFFF2038CB2FFFFF20FC3ABF8E000FFFFC00FC383F0EE38FFFFF8AFE383F0E		v115@GhAtHeBtRpDeR4AtglRpCeR4ilJeAgH		[^LSZO]!,*p4	99.21%	5000/5040	1001BFAAFE
