ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
6691BDBEFD	TLLJZO	LLJO	L,[TLJZO]p4{LJO=1}	30F03FFCC03C		v115@9gilGeglRpGeg0RpFegli0DeilJeAgH		[TZ]!,*p5	99.76%	5028/5040	6889BE7EFD
6691BDBEFE	TLLJZO	LLJO	L,[TLJZO]p4{LJO=1}	5D37D37D7FFF		v115@Ehi0GeRpg0FeglRpglDellJeAgH		[TZ]!,*p5	99.68%	5024/5040	6889BE7EFE
6691BDBEFF	TLLJZO	LLJO	L,[TLJZO]p4{LJO=1}	1		v115@EhglRpGeglRpg0Feili0DeilJeAgH		[TZ]!,*p5	99.48%	5014/5040	6889BE7EFF
6691BDFAFF	TLLJZO	LLZO	L,[TLJZO]p4{LZO=1}	1		v115@EhglRpGeglRpBeBtCeilCeBtBeilJeAgH		[TJ]!,*p5	99.33%	5006/5040	6889BF6EFF
6691BEBAFD	TLLJZO	LJZO	L,[TLJZO]p4{JZO=1}	34D0F3FFF53F		v115@Ehh0AtGeg0BtRpEeg0AtglRpEeilJeAgH		[TL]!,*p5	100.00%	5040/5040	6889BEAEFD
6691BEBAFE	TLLJZO	LJZO	L,[TLJZO]p4{JZO=1}	5D753F53FFFF		v115@Ehi0GeRpg0DeBtAeRpglEeBtilJeAgH		[TL]!,*p5	99.29%	5004/5040	6889BEAEFE
6691BEBAFF	TLLJZO	LJZO	L,[TLJZO]p4{JZO=1}	E38FFFAF30F3		v115@GhAtAeRpEeBtg0RpEeAtgli0DeilJeAgH		[TL]!,*p5	96.11%	4844/5040	6889BEAEFF
66A1AEEBFE	TLLSZO	TLSZ	L,[TLSZO]p4{TSZ=1}	1BC1D9F7FFC7		v115@DhywAtGewwBtFeR4AtglEeR4ilJeAgH		[LO]!,*p5	91.55%	4614/5040	68C1AFABFE
66A1AEEBFF	TLLSZO	TLSZ	L,[TLSZO]p4{TSZ=1}	5BD4D8F3FFD3		v115@EhR4AtFeR4BtEeywAtglFewwilJeAgH		[LO]!,*p5	90.32%	4552/5040	68C1AFABFF
66A1AEFAFF	TLLSZO	TLZO	L,[TLSZO]p4{TZO=1}	1		v115@GhAtHeBtRpCeywAtglRpDewwilJeAgH		[LS]!,*p5	88.17%	4444/5040	68C1AFAEFF
66A1BDEBFF	TLLSZO	LLSZ	L,[TLSZO]p4{LSZ=1}	1		v115@GhAtglGeBtglEeR4AtilCeR4ilJeAgH		[TO]!,*p5	86.59%	4364/5040	68C1BF6BFF
66A1BDEEFE	TLLSZO	LLSO	L,[TLSZO]p4{LSO=1}	34F1BFFCD5BD		v115@EhilGeglR4RpEeR4glRpEeilJeAgH		[TZ]!,*p5	96.75%	4876/5040	68C1BF7AFE
66A1BDEEFF	TLLSZO	LLSO	L,[TLSZO]p4{LSO=1}	1		v115@EhilGeilAeR4DeRpglR4EeRpglJeAgH		[TZ]!,*p5	89.37%	4504/5040	68C1BF7AFF
66A1BDFAFF	TLLSZO	LLZO	L,[TLSZO]p4{LZO=1}	E3FFF8BE63C6		v115@9gglRpGeglRpGeilDeBtAeilEeBtJeAgH		[TS]!,*p5	89.37%	4504/5040	68C1BF6EFF
66A1BEEAFF	TLLSZO	LSZO	L,[TLSZO]p4{SZO=1}	1		v115@GhAtHeBtRpDeR4AtglRpCeR4ilJeAgH		[TL]!,*p5	99.17%	4998/5040	68C1BFAAFF
6705B9EFFF	ILLJSZ	ILLS	L,[ILJSZ]p4{ILS=1}	67D63C4FFFD3		v115@DhzhFeglQ4hlFeglR4glFehlQ4glJeAgH		[JZ]!,*p5	93.85%	4730/5040	6905BB7BFF
6705B9FBFF	ILLJSZ	ILLZ	L,[ILJSZ]p4{ILZ=1}	1		v115@9gwhHeAtwhglFeBtwhglFeAtglwhhlDeilJeAgH		[JS]!,*p5	94.56%	4766/5040	6905BB6FFF
6705BAAFFF	ILLJSZ	ILJS	L,[ILJSZ]p4{IJS=1}	1		v115@DhzhGeQ4hlg0FeR4gli0EeQ4glJeAgH		[LZ]!,*p5	93.57%	4716/5040	6905BABBFF
6705BAEBFF	ILLJSZ	ILSZ	L,[ILJSZ]p4{ISZ=1}	AF3B2CFFF30F		v115@DhzhGeQ4hlEeBtR4glFeBtQ4glJeAgH		[LJ]!,*p5	98.25%	4952/5040	6905BBABFF
6705BEABFF	ILLJSZ	LJSZ	L,[ILJSZ]p4{JSZ=1}	1		v115@GhAtHeBtg0EeR4Atgli0BeR4ilJeAgH		[IL]!,*p5	94.37%	4756/5040	6905BEABFF
6709B9EFFF	ILLJSO	ILLS	L,[ILJSO]p4{ILS=1}	67D63C4FFFD3		v115@DhilwhFeglR4whFeR4glwhFeilwhJeAgH		[JO]!,*p5	97.70%	4924/5040	6911BB7BFF
6709B9FEFF	ILLJSO	ILLO	L,[ILJSO]p4{ILO=1}	1		v115@DhglRpwhFeglRpwhFeilwhFeilwhJeAgH		[JS]!,*p5	94.92%	4784/5040	6911BB7EFF
6709BAAFFF	ILLJSO	ILJS	L,[ILJSO]p4{IJS=1}	5BD4D8F3FFD3		v115@Dhi0whFeglQ4g0whFeglR4whFehlQ4whJeAgH		[LO]!,*p5	97.70%	4924/5040	6911BABBFF
6709BAEEFE	ILLJSO	ILSO	L,[ILJSO]p4{ISO=1}	53F4D330FFFF		v115@DhzhFeR4hlEeR4RpglGeRpglJeAgH		[LJ]!,*p5	99.44%	5012/5040	6911BBBAFE
