ID	Leftover	Build	Cover Dependece	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
72F5DFFBFF	TTZ	TTZ	T,[TZ]!	1		v115@9gBtHewwBtGeywGezwPeAgH		*p7	99.96%	5038/5040	72EDDFEFFF
72F9DFFEFF	TTO	TTO	T,[TO]!	1		v115@JhwwGeRpywEeRpzwNeAgH		*p7	100.00%	5040/5040	NULL
747DE7FFFE	TII	TII	I,[TI]!	1		v115@FhxhHexhAewwFexhywEexhJeAgH		*p7	100.00%	5040/5040	NULL
747DE7FFFF	TII	TII	I,[TI]!	1		v115@FhxhHexhFewwAexhEeywxhJeAgH		*p7	100.00%	5040/5040	NULL
753DF6FFFE	IIL	IIL	I,[IL]!	1		v115@9gwhIewhBeglFewhilFe0hOeAgH		*p7	100.00%	5040/5040	755DF7BFFE
753DF6FFFF	IIL	IIL	I,[IL]!	1		v115@FhxhHexhGeglxhEeilxhJeAgH		*p7	100.00%	5040/5040	755DF7BFFF
755DF7BFFE	IIJ	IIJ	I,[IJ]!	1		v115@GhwhFeg0BewhFei0whEe0hJeAgH		*p7	100.00%	5040/5040	753DF6FFFE
755DF7BFFF	IIJ	IIJ	I,[IJ]!	1		v115@9gxhHexhHexhg0Gexhi0OeAgH		*p7	100.00%	5040/5040	753DF6FFFF
756DF7EFFF	IIS	IIS	I,[IS]!	1		v115@9gwhIewhIewhCeR4DewhBeR4zhKeAgH		*p7	100.00%	5040/5040	7575F7FBFF
7575F7FBFF	IIZ	IIZ	I,[IZ]!	1		v115@GhwhIewhDeBtCewhAezhBtBewhJeAgH		*p7	100.00%	5040/5040	756DF7EFFF
7579F7FEFE	IIO	IIO	I,[IO]!	1		v115@FhxhHexhRpFexhRpFexhJeAgH		*p7	100.00%	5040/5040	NULL
7579F7FEFF	IIO	IIO	I,[IO]!	1		v115@FhxhHexhFeRpxhFeRpxhJeAgH		*p7	100.00%	5040/5040	NULL
76BDEDFFFF	TLL	TLL	L,[TL]!	1		v115@9ghlHehlHehlAewwFehlywOeAgH		*p7	100.00%	5040/5040	78DDEF7FFF
773DF9FFFD	ILL	ILL	L,[IL]!	1		v115@RhilEeglAeglzhAeilKeAgH		*p7	100.00%	5040/5040	795DFB7FFD
773DF9FFFE	ILL	ILL	L,[IL]!	1		v115@GhwhglHewhglGeglwhhlDeilwhJeAgH		*p7	100.00%	5040/5040	795DFB7FFE
773DF9FFFF	ILL	ILL	L,[IL]!	1		v115@ShilEeglAeglzhAeilJeAgH		*p7	100.00%	5040/5040	795DFB7FFF
779DFDBFFF	LLJ	LLJ	L,[LJ]!	1		v115@9ghlHehlHehlg0Gehli0OeAgH		*p7	100.00%	5040/5040	799DFE7FFF
77AC289AFD	LLS	TILLLJSSZO	L,[LS]!,*p7{5:J<[TS]}	1	77AE7EFFFF	v115@9gwhQ4ywRpilwhR4BtRpglR4whg0Q4wwBtglR4glwh?i0llJeAgH		*	100.00%	7/7	79D42A26FD
77AC289AFE	LLS	TILLLJSSZO	L,[LS]!,*p7{5:([TS]<J && T<[LZ])}	1	77AE7EFFFF	v115@9gwhh0R4ilRpwhg0R4BthlRpwhg0R4wwBtilwhR4yw?jlJeAgH		*	100.00%	7/7	79D42A26FE
77AC289AFF	LLS	TILLLJSSZO	L,[LS]!,*p7{5:([TS]<J && LZ<T)}	1	77AE7EFFFF	v115@9gh0ywAtwhglRpg0R4wwBtwhglRpT4Atglwhilg0R4?ilwhilJeAgH		*	100.00%	7/7	79D42A26FF
77ADFDEFFE	LLS	LLS	L,[LS]!	1		v115@PhR4FeglR4glDellJeAgH		*p7	100.00%	5040/5040	79D5FF7BFE
77ADFDEFFF	LLS	LLS	L,[LS]!	1		v115@EhglGeQ4AeglGeR4ilFeQ4ilJeAgH		*p7	100.00%	5040/5040	79D5FF7BFF
77AE7EFFFF	LLS	L	L,[LS]!	1		v115@ahglGeilJeAgH		NULL	NULL	NULL	79D67FBFFF
77B5FDFBFE	LLZ	LLZ	L,[LZ]!	1		v115@9gglIeglCeAtEeilBtEeilAtPeAgH		*p7	100.00%	5040/5040	79CDFF6FFE
77B5FDFBFF	LLZ	LLZ	L,[LZ]!	1		v115@HhglIeglBtFeilBtCeilJeAgH		*p7	100.00%	5040/5040	79CDFF6FFF
77B9FDFEFE	LLO	LLO	L,[LO]!	1		v115@PhhlFeglRpglDeilRpglJeAgH		*p7	100.00%	5040/5040	79D9FF7EFE
77B9FDFEFF	LLO	LLO	L,[LO]!	1		v115@9ghlHehlHehlRpFehlRpPeAgH		*p7	100.00%	5040/5040	79D9FF7EFF
78DDEF7FFF	TJJ	TJJ	J,[TJ]!	1		v115@Fhh0Heh0FewwAeh0Eeywh0JeAgH		*p7	100.00%	5040/5040	76BDEDFFFF
795DFB7FFD	IJJ	IJJ	J,[IJ]!	1		v115@Shg0Eei0Aei0Aezhg0JeAgH		*p7	100.00%	5040/5040	773DF9FFFD
795DFB7FFE	IJJ	IJJ	J,[IJ]!	1		v115@9gwhIewhHeg0whg0Geg0whi0Deh0JeAgH		*p7	100.00%	5040/5040	773DF9FFFE
795DFB7FFF	IJJ	IJJ	J,[IJ]!	1		v115@Rhg0Eei0Aei0Aezhg0KeAgH		*p7	100.00%	5040/5040	773DF9FFFF
799DFE7FFF	LJJ	LJJ	J,[LJ]!	1		v115@Fhh0Heh0Geglh0Eeilh0JeAgH		*p7	100.00%	5040/5040	779DFDBFFF
79CDFF6FFE	JJS	JJS	J,[JS]!	1		v115@Ghg0EeQ4Ceg0EeR4i0FeQ4i0JeAgH		*p7	100.00%	5040/5040	77B5FDFBFE
79CDFF6FFF	JJS	JJS	J,[JS]!	1		v115@Qhh0FeR4j0CeR4h0JeAgH		*p7	100.00%	5040/5040	77B5FDFBFF
79D42A26FD	JJZ	TILJJJSZZO	J,[JZ]!,*p7{5:L<[TZ]}	1	79D67FBFFF	v115@9gi0RpywAtwhBtg0RpR4Btwhg0Btg0R4wwAtglwhl0?ilwhJeAgH		*	100.00%	7/7	77AC289AFD
79D42A26FE	JJZ	TILJJJSZZO	J,[JZ]!,*p7{5:([TZ]<L && T<[JS])}	1	79D67FBFFF	v115@9gRpi0BthlwhRph0R4Btglwhi0R4wwBtglwhj0ywBt?whJeAgH		*	100.00%	7/7	77AC289AFE
79D42A26FF	JJZ	TILJJJSZZO	J,[JZ]!,*p7{5:([TZ]<L && JS<T))}	1	79D67FBFFF	v115@9gRpg0whQ4ywhlRpg0whR4wwBtgli0whg0Q4Dti0wh?i0BtglJeAgH		*	100.00%	7/7	77AC289AFF
79D5FF7BFE	JJZ	JJZ	J,[JZ]!	1		v115@HhBtHeg0Btg0Fel0NeAgH		*p7	100.00%	5040/5040	77ADFDEFFE
79D5FF7BFF	JJZ	JJZ	J,[JZ]!	1		v115@/gg0Ieg0AeAtEei0BtEei0AtPeAgH		*p7	100.00%	5040/5040	77ADFDEFFF
79D67FBFFF	JJZ	J	J,[JZ]!	1		v115@Rhg0Iei0QeAgH		NULL	NULL	NULL	77AE7EFFFF
79D9FF7EFE	JJO	JJO	J,[JO]!	1		v115@Hhh0Heg0Rpg0Feg0Rpi0NeAgH		*p7	100.00%	5040/5040	77B9FDFEFE
79D9FF7EFF	JJO	JJO	J,[JO]!	1		v115@Fhh0Heh0FeRph0FeRph0JeAgH		*p7	100.00%	5040/5040	77B9FDFEFF
7AEDEFDFFF	TSS	TSS	S,[TS]!	1		v115@/gR4GeR4HeR4wwFeR4ywOeAgH		*p7	100.00%	5040/5040	7CF5EFF7FF
7B6DFBDFFF	ISS	ISS	S,[IS]!	1		v115@LhR4GeT4CezhR4NeAgH		*p7	99.17%	4998/5040	7D75FBF7FF
7BE5FFDBFF	SSZ	SSZ	S,[SZ]!	1		v115@AhBtIeBtGeT4EeT4NeAgH		*p7	85.60%	4314/5040	7DE5FFE7FF
7BE9FFDEFF	SSO	SSO	S,[SO]!	1		v115@KhR4GeT4BeRpCeR4CeRpJeAgH		*p7	98.73%	4976/5040	7DF1FFF6FF
