ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
31F5BBBAFD	Z	IJZO	Z,*p4{IJO=1}	000000101011111111101000111100000000111111111111111111111111000000000000000000000000000000000000		v115@EhAtRpFeBtRpFeAti0Eezhg0JeAgH		[^IJO]!,*p3	95.40%	4808/5040	31EDBAEEFD
31F5BBBAFE	Z	IJZO	Z,*p4{IJO=1}	010000010100001111010111111111010000000000111100000000000000010000010000001111111100000000000000		v115@9gh0Heg0RpGeg0RpBtEezhBtNeAgH		[^IJO]!,*p3	93.85%	4730/5040	31EDBAEEFE
31F5BBBAFF	Z	IJZO	Z,*p4{IJO=1}	1		v115@GhwhIewhg0AeBtCeRpwhi0BtBeRpwhJeAgH		[^IJO]!,*p3	87.90%	4430/5040	31EDBAEEFF
31F5BBE7FC	Z	ISZZ	Z,*p4{ISZ=1}	110000111111111111111111111111110000110000001111111100000000000000001111111100000000000000110000		v115@AhAtGeCtR4DeCtR4EeAtzhOeAgH		[^ISZ]!,*p3	90.63%	4568/5040	31EDBBDBFC
31F5BBE7FD	Z	ISZZ	Z,*p4{ISZ=1}	000000000000111111110000000000000000000000111111111111111111111111000000000000000000000000000000		v115@AhDtGeDtGeR4GeR4zhJeAgH		[^ISZ]!,*p3	89.13%	4492/5040	31EDBBDBFD
31F5BBE7FE	Z	ISZZ	Z,*p4{ISZ=1}	110010111111111111111111111111110010110010001111111100000111100000101111111110100111100010110010		v115@/gQ4BtGeR4BtGeQ4BtEezhBtMeAgH		[^ISZ]!,*p3	86.79%	4374/5040	31EDBBDBFE
31F5BBE7FF	Z	ISZZ	Z,*p4{ISZ=1}	1		v115@9gwhDeBtCewhEeBtQ4AewhEeBtR4whFeBtQ4JeAgH		[^ISZ]!,*p3	85.08%	4288/5040	31EDBBDBFF
31F5BBEAFB	Z	ISZO	Z,*p4{ISO=1}	000101000000000011110000011110000101000101010000111101010111111111000101010001111001011111111101		v115@ChzhGeQ4GeBtR4RpEeBtQ4RpJeAgH		[^ISO]!,*p3	95.40%	4808/5040	31EDBBEAFB
31F5BBEAFC	Z	ISZO	Z,*p4{ISO=1}	010000010101000011110111111111010000010000000000111100000000000000010000001111111100000000000000		v115@BhR4GeR4RpHeRpBtEezhBtJeAgH		[^ISO]!,*p3	94.92%	4784/5040	31EDBBEAFC
31F5BBEAFD	Z	ISZO	Z,*p4{ISO=1}	000000000000000000000011111111000000000000000000000000000000000000000000111111111111111111111111		v115@AhQ4GeBtR4EeRpBtQ4EeRpzhNeAgH		[^ISO]!,*p3	93.81%	4728/5040	31EDBBEAFD
