ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
507CE6AEFB	TI	TIILJSO	[TI]!,*p6{ILJSO=1}	0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8E00FF8E00FF8E00000000FFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFFFFFF000000FFF03CC3CC00FFF03CC3CC00FFF03CC3CC00000000FFFFFFFF8E00FF8E00FF8E00000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8E00FF8E00FF8E00000000FFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFFFFFF000000FFF03CC3CC00FFF03CC3CC00FFF03CC3CC00000000FFFFFFFF8E00FF8E00FF8E00000000		v115@9gh0R4zhhlg0R4DeRpglg0wwEeRpglywCezhJeAgH		[TZ]!,*p2	100.00%	84/84	507CE6BAFB
507CE6AEFC	TI	TIILJSO	[TI]!,*p6{ILJSO=1}	0B2FFFFB2FFBFFFFFECBEFFBFFFFFEFFFFFFFFFFFFFFFFFFFFFFFFFB2FFFFB2FFFF000000000000FC0030FC0030B2FFBFFFFFEC000000000000000000FFF00003C000FFF00003C000000000BEFFBFFFFFEF000000000000000000FFF00003C000FFF00003C000000000FFFFFFFFFFFFFC0030FFF00003C000FFF00003C000FFFC3C03C030FC0030FFFFFFFFFFFFFC0030FFF00003C000FFF00003C000FFFC3C03C030FC0030B2FFFF000000000000FC0030FC0030B2FFFFB2FFBFFFFFECBEFFBFFFFFEFFFFFFFFFFFFFFFFFFFFFFFFFB2FFFFB2FFFF000000000000FC0030FC0030B2FFBFFFFFEC000000000000000000FFF00003C000FFF00003C000000000BEFFBFFFFFEF000000000000000000FFF00003C000FFF00003C000000000FFFFFFFFFFFFFC0030FFF00003C000FFF00003C000FFFC3C03C030FC0030FFFFFFFFFFFFFC0030FFF00003C000FFF00003C000FFFC3C03C030FC0030B2FFFF000000000000FC0030FC0030		v115@9gilDei0glwwEeR4g0ywCeR4Rp3hRpJeAgH		[TZ]!,*p2	100.00%	84/84	507CE6BAFC
507CE6AEFD	TI	TIILJSO	[TI]!,*p6{ILJSO=1}	0B2CFC0B2F6BFFC6F2CB2F6BFFC6F2CFFFFFFFFFFFF006F06F3FFC0B2CFC0B2CFC0B20000B20000000000000000B2F6BFFC6F2CB20000BDA83C018020FFF03C0000001BC018000000B20000B2F6BFFC6F2CB20000BDA83C018020FFFC3C03C0301BC018000000B20000FFFFFFFFFFFFBC0C00FFF03C000000FFFC3C03C030FFF00003C000BC0C00006F06F3FFC00000001BC0180000001BC018000000000000000000000000B2CFC0B20000B20000000000000000B2CFC0B2F6BFFC6F2CB2F6BFFC6F2CFFFFFFFFFFFF006F06F3FFC0B2CFC0B2CFC0B20000B20000000000000000B2F6BFFC6F2CB20000BDA83C018020FFF03C0000001BC018000000B20000B2F6BFFC6F2CB20000BDA83C018020FFFC3C03C0301BC018000000B20000FFFFFFFFFFFFBC0C00FFF03C000000FFFC3C03C030FFF00003C000BC0C00006F06F3FFC00000001BC0180000001BC018000000000000000000000000B2CFC0B20000B20000000000000000		v115@9gh0Dezhg0EeR4hlg0wwCeR4RpglywzhRpglJeAgH		[TZ]!,*p2	100.00%	84/84	507CE6BAFD
507CE6AEFE	TI	TIILJSO	[TI]!,*p6{ILJSO=1}	000000003FFCF60F60003FFCF60F60000F60F60660000F60F60660000000000000003F34D03F34D00D34500D34503FFCF60F60003F34DFFFFFFFFFFFF3D837FFD9F4D3D837FFD9F4D03F34D03FFCF60F60003F34DFFFFFFFFFFFF3D837FFD9F4D3D837FFD9F4D03F34D00F60F60660000D3453D837FFD9F4D3D837FFD9F4D198159F59F4500D34500F60F60660000D3453D837FFD9F4D3D837FFD9F4D198159F59F4500D34500000003F34D03F34D00D34500D34500000003FFCF60F60003FFCF60F60000F60F60660000F60F60660000000000000003F34D03F34D00D34500D34503FFCF60F60003F34DFFFFFFFFFFFF3D837FFD9F4D3D837FFD9F4D03F34D03FFCF60F60003F34DFFFFFFFFFFFF3D837FFD9F4D3D837FFD9F4D03F34D00F60F60660000D3453D837FFD9F4D3D837FFD9F4D198159F59F4500D34500F60F60660000D3453D837FFD9F4D3D837FFD9F4D198159F59F4500D34500000003F34D03F34D00D34500D345		v115@9gRpzhDeRpR4wwEeg0R4ywCegli0zhilJeAgH		[TZ]!,*p2	100.00%	84/84	507CE6BAFE
507CE6AEFF	TI	TIILJSO	[TI]!,*p6{ILJSO=1}	0480020496F4662F692016F4000F00000660000600082F68F00602048002048002049302C00000000000082C000496F4662F69249302C5BD4D8F3FFD3198018F18F00BDAB3FFD8F2C49302C016F4000F0000000005BD4D8F3FFD30000000000003C003FFC0000000000006600006000000000198018F18F00000000000000180018F0000000000082F68F00602082C000BDAB3FFD8F2C3C003FFC0000180018F0000082C00048002049302C00000000000082C000480020496F4662F692016F4000F00000660000600082F68F00602048002048002049302C00000000000082C000496F4662F69249302C5BD4D8F3FFD3198018F18F00BDAB3FFD8F2C49302C016F4000F0000000005BD4D8F3FFD30000000000003C003FFC0000000000006600006000000000198018F18F00000000000000180018F0000000000082F68F00602082C000BDAB3FFD8F2C3C003FFC0000180018F0000082C00048002049302C00000000000082C000		v115@9gh0DeRphlg0EeRpwwglg0R4zhywR4CezhglJeAgH		[TZ]!,*p2	100.00%	84/84	507CE6BAFF
507CE6BAFB	TI	TIILJZO	[TI]!,*p6{ILJZO=1}	0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFF8E00FF8E00FF8E00000000FFFFFFFFFFFFFFFE3ECBCC38FF8E00FFFFB2E3F038FFFF3003F000FF8E00FFFFFFFFFFFFFFFE3ECBCC38FF8E00FFFFB2E3F038FFFF3003F000FF8E00FFFFFFFFFFFFFFF03CC3CC00000000FFFF3003F000FFFF3003F000000000FFFFFFFF8E00FF8E00FF8E00000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8E00FFFE3ECBCC38FFFE3ECBCC38FFF03CC3CC00FF8E00FFFFFFFF8E00FF8E00FF8E00000000FFFFFFFFFFFFFFFE3ECBCC38FF8E00FFFFB2E3F038FFFF3003F000FF8E00FFFFFFFFFFFFFFFE3ECBCC38FF8E00FFFFB2E3F038FFFF3003F000FF8E00FFFFFFFFFFFFFFF03CC3CC00000000FFFF3003F000FFFF3003F000000000FFFFFFFF8E00FF8E00FF8E00000000		v115@9gh0zhBthlg0RpDeBtglg0RpEewwglzhCeywJeAgH		[TS]!,*p2	100.00%	84/84	507CE6AEFB
507CE6BAFC	TI	TIILJZO	[TI]!,*p6{ILJZO=1}	0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000000FFF00003C000000000000000FFF03C000000000000FFFFFF000000FC0030000000FC0C00FFFFFFFFFFFFFFF00003C000FC0030FFF00003C000FFFF00C3C030FC0030FFFFFFFFFFFF000000000000000000FFF00003C000FFF00003C000000000FFFFFFFFFFFFFFF03C000000FC0C00FFFF00C3C030FFF00003C000FC0C00FFFFFF000000FC0030000000FC0C00FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF000000FFF00003C000000000000000FFF03C000000000000FFFFFF000000FC0030000000FC0C00FFFFFFFFFFFFFFF00003C000FC0030FFF00003C000FFFF00C3C030FC0030FFFFFFFFFFFF000000000000000000FFF00003C000FFF00003C000000000FFFFFFFFFFFFFFF03C000000FC0C00FFFF00C3C030FFF00003C000FC0C00FFFFFF000000FC0030000000FC0C00		v115@9gilDei0glBtEewwg0RpBtCeywRp3hJeAgH		[TS]!,*p2	100.00%	84/84	507CE6AEFC
507CE6BAFD	TI	TIILJZO	[TI]!,*p6{ILJZO=1}	0E3FFEF68F638E3FB00FFFFFFFFFFFFBDAB3FFD8F2C3D803FFD8F00E3FB00E3FFEF68F638E00800FFF03C000000BDA83C0180203D8000018000E00800E3FB00E00800000000B20000000000FFFFFFFFFFFFFFF03C000000FC0C00FFFF00C3C030FFF00003C000FC0C00BDAB3FFD8F2CBDA83C018020B20000FFFF00C3C03063C600000000B200003D803FFD8F003D800001800000000000000000000063C600000000000000E3FB00E00800000000B20000000000E3FFEF68F638E3FB00FFFFFFFFFFFFBDAB3FFD8F2C3D803FFD8F00E3FB00E3FFEF68F638E00800FFF03C000000BDA83C0180203D8000018000E00800E3FB00E00800000000B20000000000FFFFFFFFFFFFFFF03C000000FC0C00FFFF00C3C030FFF00003C000FC0C00BDAB3FFD8F2CBDA83C018020B20000FFFF00C3C03063C600000000B200003D803FFD8F003D800001800000000000000000000063C600000000000000E3FB00E00800000000B20000000000		v115@9gzhDehlh0BtEeglg0RpBtCewwglg0RpzhywJeAgH		[TS]!,*p2	100.00%	84/84	507CE6AEFD
507CE6BAFE	TI	TIILJZO	[TI]!,*p6{ILJZO=1}	000F63FFC6F000000003D803CC18C00FFF03CC3CC001BC018C3CC0000000000F63FFC6F0000DFC73D837FFD9F4DFFFFFFFFFFFF1BC1D9F7FFC700DFC700000000DFC700D34503F34D00714D3D803CC18C003D837FFD9F4D00D345F30FFF373D4D63067D173D4500D345FFF03CC3CC00FFFFFFFFFFFF03F34DF30FFF373D4DF30FFF373D4D03F34D1BC018C3CC001BC1D9F7FFC700714D63067D173D45F30FFF373D4D00714D00000000DFC700D34503F34D00714D00F63FFC6F000000003D803CC18C00FFF03CC3CC001BC018C3CC0000000000F63FFC6F0000DFC73D837FFD9F4DFFFFFFFFFFFF1BC1D9F7FFC700DFC700000000DFC700D34503F34D00714D3D803CC18C003D837FFD9F4D00D345F30FFF373D4D63067D173D4500D345FFF03CC3CC00FFFFFFFFFFFF03F34DF30FFF373D4DF30FFF373D4D03F34D1BC018C3CC001BC1D9F7FFC700714D63067D173D45F30FFF373D4D00714D00000000DFC700D34503F34D00714D		v115@BhzhRpEewwBtRpg0CeywBtgli0zhilJeAgH		[TS]!,*p2	100.00%	84/84	507CE6AEFE
507CE6BAFF	TI	TIILJZO	[TI]!,*p6{ILJZO=1}	0146616F56F451400101980000180005BD00003C0005BD41803C010140010146616F56F451404D3198018F18F005BD4D8F3FFD35BD4D8F3FFD31404D31400101404D3000000000000413000198000018000198018F18F0000000000000000000060063C0000000000005BD00003C0005BD4D8F3FFD3000000000000000000F00FFF0000000000005BD41803C0105BD4D8F3FFD341300060063C000000F00FFF0000004130001400101404D3000000000000413000146616F56F451400101980000180005BD00003C0005BD41803C010140010146616F56F451404D3198018F18F005BD4D8F3FFD35BD4D8F3FFD31404D31400101404D3000000000000413000198000018000198018F18F0000000000000000000060063C0000000000005BD00003C0005BD4D8F3FFD3000000000000000000F00FFF0000000000005BD41803C0105BD4D8F3FFD341300060063C000000F00FFF0000004130001400101404D3000000000000413000		v115@9gh0RpDehlg0wwRpEeglywzhBtglg0zhCeBtJeAgH		[TS]!,*p2	100.00%	84/84	507CE6AEFF
