ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
8205AABFFD	TTILJSZ	TILJ	T,[^O]p4{ILJ=1}	0000003F000FCFFFFC0		v115@9gilGeglwwHeywDei0zhEeg0JeAgH9giWDei0gWQLF?ewwg0ySDeSawhSaBeyhQLJeAgH		[TSZ]!,*p4	100.00%	5040/5040	NULL
8205AABFFE	TTILJSZ	TILJ	T,[^O]p4{ILJ=1}	0000FFFFFFFFF000000		v115@9gzhFeywGeg0wwGegli0DeilJeAgH9gTaBezhSLDey?wAeQLFewwUeAgH		[TSZ]!,*p4	99.48%	5014/5040	NULL
8205AABFFF	TTILJSZ	TILJ	T,[^O]p4{ILJ=1}	1		v115@9gh0Heg0Ieg0wwGeglywzhilJeAgH		[TSZ]!,*p4	98.89%	4984/5040	NULL
8205AAEFFE	TTILJSZ	TILS	T,[^O]p4{ILS=1}	082BF3A83FFFF0E0020		v115@DhzhGeQ4hlFewwR4glEeywQ4glJeAgHOhgWRpFeglA?egWFehlwSQLKeAgH		[TJZ]!,*p4	100.00%	5040/5040	8205ABBBFE
8205AAEFFF	TTILJSZ	TILS	T,[^O]p4{ILS=1}	1		v115@EhhlwhHeglwhEeR4wwglwhDeR4ywwhJeAgH		[TJZ]!,*p4	99.84%	5032/5040	8205ABBBFF
8205AAFBFE	TTILJSZ	TILZ	T,[^O]p4{ILZ=1}	0FFFFFEFBFFFFFEBFBE		v115@9gwhilFewhglAtGewhBtwwFewhAtywOeAgH+gSaFew?hAegWGexhAeQaFeAtwhAeRaOeAgH+gCtFeQaAeQpGeQawSH?eAPxSQeAgH		[TJS]!,*p4	100.00%	5040/5040	8205ABAFFE
8205AAFBFF	TTILJSZ	TILZ	T,[^O]p4{ILZ=1}	00FCE0D37FFFF397F4D		v115@9gwhHeAtwhwwFeBtwhxwEeAtglwhwwEeilJeAgH		[TJS]!,*p4	100.00%	5040/5040	8205ABAFFF
8205ABAFFE	TTILJSZ	TIJS	T,[^O]p4{IJS=1}	0FBFFFFFFFFFEBFFEBE		v115@Dhi0whGeQ4g0whFewwR4whEeywQ4whJeAgHDhSLHeQ?aAewwFeglAegWwwEehlAegWAtJeAgHDhCtHeQaAeQLHewhQ?LGexhAPJeAgH		[TLZ]!,*p4	100.00%	5040/5040	8205AAFBFE
8205ABAFFF	TTILJSZ	TIJS	T,[^O]p4{IJS=1}	034FC70FFFFCD5CFD4D		v115@9gQ4HewhR4Fewwwhg0Q4Eexwwhi0EewwwhJeAgH		[TLZ]!,*p4	100.00%	5040/5040	8205AAFBFF
8205ABBBFE	TTILJSZ	TIJZ	T,[^O]p4{IJZ=1}	0BF9CA0FFFFE0700020		v115@9gzhFeh0AtGeg0BtwwFeg0AtywOeAgHHhRawhHewhA?eQaGeglwhRaOeAgH		[TLS]!,*p4	100.00%	5040/5040	8205AAEFFE
8205ABBBFF	TTILJSZ	TIJZ	T,[^O]p4{IJZ=1}	1		v115@9gwhh0Gewhg0Hewhg0wwBtEewhywBtNeAgH		[TLS]!,*p4	99.84%	5032/5040	8205AAEFFF
8205ABEBFF	TTILJSZ	TISZ	T,[^O]p4{ISZ=1}	1		v115@9gBtHewwBtGexwR4FewwR4CezhJeAgH		[TLJ]!,*p4	100.00%	5040/5040	NULL
8205AEAFFF	TTILJSZ	TLJS	T,[^O]p4{LJS=1}	1		v115@9gh0R4Feg0R4Geg0wwGeglywDeilJeAgH		[TIZ]!,*p4	100.00%	5040/5040	8205AEBBFF
8205AEBBFF	TTILJSZ	TLJZ	T,[^O]p4{LJZ=1}	1		v115@DhBthlGeBtglg0Gewwgli0DeywJeAgH		[TIS]!,*p4	100.00%	5040/5040	8205AEAFFF
8205AEEBFF	TTILJSZ	TLSZ	T,[^O]p4{LSZ=1}	1		v115@DhBthlGeBtglFeR4wwglEeR4ywJeAgH		[TIJ]!,*p4	100.00%	5040/5040	8205AFABFF
8205AFABFF	TTILJSZ	TJSZ	T,[^O]p4{JSZ=1}	1		v115@9gh0R4Feg0R4Geg0wwBtFeywBtOeAgH		[TIL]!,*p4	100.00%	5040/5040	8205AEEBFF
8205EAFFFE	TTILJSZ	TIL	T,[^O]p3{IL=1}	0547BFD		v115@9gglIeglHewwhlFexwzhEewwJeAgH		[TJSZ]!,*p3	100.00%	5040/5040	8205EBBFFE
8205EAFFFF	TTILJSZ	TIL	T,[^O]p4{TIL=1}	0A28A2AFC7ABF1C01C7		v115@FhhlIeglHewwglzhCeywJeAgH		T,[JSZ]!,*p3	100.00%	1260/1260	8205EBBFFF
8205EBBFFE	TTILJSZ	TIJ	T,[^O]p3{IJ=1}	051E7FD		v115@Ghg0wwHeg0xwFeh0wwEezhJeAgH		[TLSZ]!,*p3	100.00%	5040/5040	8205EAFFFE
8205EBBFFF	TTILJSZ	TIJ	T,[^O]p4{TIJ=1}	0A28ABF1E8AFE38070E		v115@9gh0Heg0Ieg0wwHeywCezhJeAgH		T,[LSZ]!,*p3	100.00%	1260/1260	8205EAFFFF
8205EBEFFF	TTILJSZ	TIS	T,[^O]p3{IS=1}	1		v115@HhwwIexwR4FewwR4CezhJeAgH		[TLJZ]!,*p3	100.00%	5040/5040	8205EBFBFF
8205EBFBFF	TTILJSZ	TIZ	T,[^O]p3{IZ=1}	1		v115@QhwwFeBtxwzhCeBtwwJeAgH		[TLJS]!,*p3	100.00%	5040/5040	8205EBEFFF
