ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror	Minimals
2129BAEEFC	ILSO	ILSO	[ILSO]!	110011111111001111111111		v115@DhzhFeR4hlEeR4RpglGeRpglJeAgH		*p7	95.40%	4808/5040	2151BBBAFC	
2129BAEEFD	ILSO	ILSO	[ILSO]!	111111111111111100111100		v115@9gRpQ4GeRpR4FeilQ4FeglzhOeAgH		*p7	92.66%	4670/5040	2151BBBAFD	
2129BAEEFE	ILSO	ILSO	[ILSO]!	1		v115@9gwhIewhBeglQ4EewhRpglR4DewhRphlQ4NeAgH		*p7	88.81%	4476/5040	2151BBBAFE	
2129BAEEFF	ILSO	ILSO	[ILSO]!	1		v115@GhwhEeR4BewhDeR4glRpwhDeilRpwhJeAgH		*p7	88.81%	4476/5040	2151BBBAFF	
2131BAFAF9	ILZO	ILZO	[ILZO]!	010111010011010011111111		v115@9gilGeglBtGeRpBtFeRpzhNeAgH		*p7	98.29%	4954/5040	2149BBAEF9	
2131BAFAFA	ILZO	ILZO	[ILZO]!	1		v115@FhAtwhGeBtwhRpEeAtglwhRpDeilwhJeAgH		*p7	97.90%	4934/5040	2149BBAEFA	
2131BAFAFB	ILZO	ILZO	[ILZO]!	1		v115@9gwhIewhglHewhglBtDeRpwhhlBtCeRpJeAgH		*p7	95.44%	4810/5040	2149BBAEFB	
2131BAFAFC	ILZO	ILZO	[ILZO]!	111111111100111111110011		v115@9gilGeglAtRpFeBtRpFeAtzhOeAgH		*p7	92.66%	4670/5040	2149BBAEFC	
2131BAFAFD	ILZO	ILZO	[ILZO]!	1		v115@GhwhEeBtBewhDeRpBtglwhDeRpilwhJeAgH		*p7	88.81%	4476/5040	2149BBAEFD	
2131BAFAFE	ILZO	ILZO	[ILZO]!	111111110010110010111010		v115@/gglIeglBtEeRphlBtDeRpzhNeAgH		*p7	88.81%	4476/5040	2149BBAEFE	
2131BAFAFF	ILZO	ILZO	[ILZO]!	1		v115@LhAtBeglEeBtilRpCeAtzhRpJeAgH		*p7	80.00%	4032/5040	2149BBAEFF	
2145BBABFD	IJSZ	IJSZ	[IJSZ]!	110000111111001100001100		v115@DhzhFeR4Atg0EeR4Btg0GeAth0JeAgH		*p7	95.40%	4808/5040	2125BAEBFD	
2145BBABFE	IJSZ	IJSZ	[IJSZ]!	111111111111111110111110		v115@EhAtHeBtFeR4Ati0CeR4zhg0JeAgH		*p7	92.22%	4648/5040	2125BAEBFE	
2145BBABFF	IJSZ	IJSZ	[IJSZ]!	1		v115@LhAtBeg0EeBtR4i0CeAtR4zhJeAgH		*p7	80.00%	4032/5040	2125BAEBFF	
2145BBEAFF	IJSZ	ISZO	[IJSZ]!,O	111111111010111010111010		v115@KhRpFeR4RpBtCeR4zhBtLeAgH		J,[^O]!	99.72%	718/720	2125BBEAFF	
2145FFABFE	IJSZ	JSZ	[IJSZ]!	001101001101111111010111		v115@Ehi0HeQ4g0FeBtR4GeBtQ4JeAgH		I,*p7	97.18%	4898/5040	2125FEEBFE	
2145FFABFF	IJSZ	JSZ	[IJSZ]!	110010111111001101101101		v115@9gQ4IeR4Heg0Q4BtFei0BtOeAgH		I,*p7	96.11%	4844/5040	2125FEEBFF	
2149BBAEF9	IJSO	IJSO	[IJSO]!	010111010011010011111111		v115@Ehi0GeR4g0FeR4RpDezhRpJeAgH		*p7	98.29%	4954/5040	2131BAFAF9	
2149BBAEFA	IJSO	IJSO	[IJSO]!	1		v115@9gwhQ4HewhR4Gewhg0Q4EeRpwhi0DeRpJeAgH		*p7	97.90%	4934/5040	2131BAFAFA	
2149BBAEFB	IJSO	IJSO	[IJSO]!	1		v115@GhwhHeg0whRpDeR4g0whRpCeR4h0whJeAgH		*p7	95.44%	4810/5040	2131BAFAFB	
2149BBAEFC	IJSO	IJSO	[IJSO]!	111111111100111111110011		v115@Ehi0FeRpQ4g0FeRpR4EezhQ4JeAgH		*p7	92.66%	4670/5040	2131BAFAFC	
2149BBAEFD	IJSO	IJSO	[IJSO]!	1		v115@9gwhIewhBeR4Eewhg0R4RpDewhi0RpNeAgH		*p7	88.81%	4476/5040	2131BAFAFD	
2149BBAEFE	IJSO	IJSO	[IJSO]!	111111110010110010111010		v115@Ehg0GeR4g0FeR4h0RpDezhRpJeAgH		*p7	88.81%	4476/5040	2131BAFAFE	
2149BBAEFF	IJSO	IJSO	[IJSO]!	1		v115@Jhg0BeQ4DeRpi0R4CeRpzhQ4MeAgH		*p7	80.00%	4032/5040	2131BAFAFF	
21517BAAFF	IJZO	IJSZO	[IJZO]!,*p2{S=1}	1		v115@9gwhQ4HewhR4Gewhg0Q4BtCeRpwhi0BtBeRpJeAgH		[^S]!	100.00%	720/720	21297AEAFF	
2151BBBAFB	IJZO	IJZO	[IJZO]!	111111110010110010111010		v115@FhAtg0GeBtg0RpEeAth0RpDezhJeAgH		*p7	97.90%	4934/5040	2129BAEEFB	
2151BBBAFC	IJZO	IJZO	[IJZO]!	110011111111001111111111		v115@9gzhFeh0BtFeg0RpBtEeg0RpQeAgH		*p7	95.32%	4804/5040	2129BAEEFC	
2151BBBAFD	IJZO	IJZO	[IJZO]!	111111111111111100111100		v115@EhAtRpFeBtRpFeAti0Eezhg0JeAgH		*p7	92.66%	4670/5040	2129BAEEFD	
2151BBBAFE	IJZO	IJZO	[IJZO]!	1		v115@GhwhEeAtg0BewhDeBtg0RpwhDeAth0RpwhJeAgH		*p7	88.81%	4476/5040	2129BAEEFE	
2151BBBAFF	IJZO	IJZO	[IJZO]!	1		v115@9gwhIewhBeBtEewhRpg0BtDewhRpi0NeAgH		*p7	88.81%	4476/5040	2129BAEEFF	
2160F6AAFF	ISZO	IILJSZO	[ISZO]!,[ILJ]!	1		v115@9gilzhi0glAtRpDeQ4g0BtRpDeR4AtzhDeQ4JeAgH		[^ILJ]!	100.00%	24/24	NULL	
21612AEAFF	ISZO	TILSZO	[ISZO]!,*p3{TL=1}	1		v115@KhRpBeQ4hlywRpBtR4glAewwzhBtQ4glJeAgH		[^TL]!	100.00%	120/120	21612BAAFF	
21612BAAFF	ISZO	TIJSZO	[ISZO]!,*p3{TJ=1}	1		v115@Hhh0AtBeRpCeg0BtR4Rpywg0AtR4zhwwKeAgH		[^TJ]!	100.00%	120/120	21612AEAFF	
21612BDAFF	ISZO	TISSZO	[ISZO]!,*p3{TS=1}	1		v115@/gQ4HewwR4BeQ4CeywQ4BtR4RpAezhBtQ4RpJeAgH		[^TS]!	100.00%	120/120	21612BE6FF	
21612BE6FF	ISZO	TISZZO	[ISZO]!,*p3{TZ=1}	1		v115@EhAtEeAtBeBtwwAeRpBtR4AtywRpAtR4zhKeAgH		[^TZ]!	100.00%	120/120	21612BDAFF	
21613ADAFF	ISZO	ILSSZO	[ISZO]!,*p3{LS=1}	1		v115@+gglQ4HeglR4BeQ4DehlQ4BtR4RpAezhBtQ4RpJeAg?H		[^LS]!	100.00%	120/120	21613BA6FF	
21613AE9FF	ISZO	ILSZOO	[ISZO]!,*p3{LO=1}	1		v115@KhRpBeilAeR4RpBtglRpR4zhBtRpJeAgH		[^LO]!	100.00%	120/120	21613BA9FF	
21613BA6FF	ISZO	IJSZZO	[ISZO]!,*p3{JZ=1}	1		v115@EhAtg0DeAtBeBtg0AeRpBtR4Ath0AeRpAtR4zhKeAg?H		[^JZ]!	100.00%	120/120	21613ADAFF	
21613BA9FF	ISZO	IJSZOO	[ISZO]!,*p3{JO=1}	1		v115@Hhi0BeRpCeRpg0R4RpBtAeRpR4zhBtJeAgH		[^JO]!	100.00%	120/120	21613AE9FF	
21613BD6FF	ISZO	ISSZZO	[ISZO]!,*p3{SZ=1}	1		v115@IhT4BtCeT4DtRpAezhBtAeRpJeAgH		[^SZ]!	100.00%	120/120	NULL	
2161BBEAFE	ISZO	ISZO	[ISZO]!,*p3{I=1&&!/^[TLJ]{2}I/}	1		v115@KhBtIeBtR4RpAezhR4AeRpJeAgH		*p7{3:(I=1&&!/^[TLJ]{2}I/)}	100.00%	2016/2016	NULL	
2161BBEAFF	ISZO	ISZO	[ISZO]!	1		v115@9gwhIewhCeAtEewhRpBtR4CewhRpAtR4NeAgH		*p7	93.97%	4736/5040	NULL	
2161FFEAFE	ISZO	SZO	[ISZO]!,*p3{J<L||LJ=0}	1		v115@KhAtFeRpBtR4DeRpAtR4OeAgH		I,*p7{3:(J<L||LJ=0)}	100.00%	3240/3240	2161FFEAFF	
2161FFEAFF	ISZO	SZO	[ISZO]!,*p3{L<J||LJ=0}	1		v115@NhQ4GeBtR4RpEeBtQ4RpJeAgH		I,*p7{3:(L<J||LJ=0)}	100.00%	3240/3240	2161FFEAFE	
21843956FE	LJSZ	ILLJJSSZZO	[LJSZ]!{2:LZ=1||3:LSZ=1||L<Z},[TIO]!,[^TIO]!{L<Z&&LZ<J}	1	2185FEEBFF	v115@9gh0AtzhR4Atg0Bti0R4Btg0AtglRpg0R4AtjlRpR4?ilJeAgH		T	100.00%	1/1	21843956FF	
21843956FF	LJSZ	ILLJJSSZZO	[LJSZ]!{2:JS=1||3:JSZ=1||J<S},[TIO]!,[^TIO]!{J<S&&JS<L}	1	2185FFABFF	v115@9gQ4BtzhQ4hlR4BtilR4glg0Q4BtglRpg0Q4gli0Bt?Rpi0JeAgH		T	100.00%	1/1	21843956FE	
2184695BFF	LJSZ	TILLJJSSZ	[LJSZ]!{2:JS=1||3:JSZ=1||J<S},[TIO]!,[LJS]!{L<S},Z	1	2185FFABFF	v115@9gQ4ywQ4BeilR4wwzhilg0Q4BtR4i0gli0BtQ4Beg0?glJeAgH		OZ	100.00%	1/1	21846967FF	
21846967FF	LJSZ	TILLJJSZZ	[LJSZ]!{2:LZ=1||3:LSZ=1||L<Z},[TIO]!,[LJZ]!{J<Z},S	1	2185FEEBFF	v115@9gi0BeAtywAti0zhwwBtg0ilBtR4Atglg0glBeAtR4?ilJeAgH		OS	100.00%	1/1	2184695BFF	
2184795AFF	LJSZ	ILLJJSSZO	[LJSZ]!{2:LZ=1||3:LSZ=1||L<Z},[TIO]!,[^TIZO]!,Z	1	2185FEEBFF	v115@9gRpBeglh0R4AtRpilg0R4Btg0zhg0R4Atgli0BeR4?ilJeAgH		TZ	100.00%	1/1	21847966FF	
21847966FF	LJSZ	ILLJJSZZO	[LJSZ]!{2:JS=1||3:JSZ=1||J<S},[TIO]!,[^TISO]!,S	1	2185FFABFF	v115@9gQ4Bthlg0BeRpR4Btgli0Rpg0Q4Btglzhgli0BtBe?ilJeAgH		TS	100.00%	1/1	2184795AFF	
2184F96BFF	LJSZ	ILLJJSZ	[LJSZ]!,[ILJ]!	1		v115@9gzhi0jlDeQ4g0glAtg0glDeR4Btg0hlDeQ4Ath0Je?AgH		[^ILJ]!	100.00%	24/24	NULL	
2184F9AAFF	LJSZ	ILLJSZO	[LJSZ]!,[ILO]!	1		v115@ChRpBewhh0R4AtRphlwhg0R4Btjlwhg0BeAtAeglBe?glwhJeAgH		[^ILO]!	100.00%	24/24	2184FA6AFF	
2184FA6AFF	LJSZ	ILJJSZO	[LJSZ]!,[IJO]!	1		v115@9gwhBeRpEewhh0RpQ4Bthlwhj0R4Btglwhg0Beg0Ae?Q4BeglJeAgH		[^IJO]!	100.00%	24/24	2184F9AAFF	
21852DABFF	LJSZ	TLLJSZ	[LJSZ]!,*p3{TL=1}	1		v115@HhglBeQ4hlCeg0glBtR4glywg0hlBtQ4glAewwh0Je?AgH		[^TL]!	100.00%	120/120	21852E6BFF	
21852E6BFF	LJSZ	TLJJSZ	[LJSZ]!,*p3{TJ=1}	1		v115@HhglCeh0AtBeg0glywg0BtR4g0hlwwAeg0AtR4h0Je?AgH		[^TJ]!	100.00%	120/120	21852DABFF	
21853A9BFF	LJSZ	ILJSSZ	[LJSZ]!,*p3{IS=1}	1		v115@IhR4BeglBeQ4AeR4i0glBtR4zhg0hlBtQ4JeAgH		[^IS]!	100.00%	120/120	21853AA7FF	
21853AA7FF	LJSZ	ILJSZZ	[LJSZ]!,*p3{IZ=1}	1		v115@IhAtBeg0BeBtAeBtR4g0ilCtR4h0glzhJeAgH		[^IZ]!	100.00%	120/120	21853A9BFF	
21853AAAFE	LJSZ	ILJSZO	[LJSZ]!{2:LZ=1||3:LSZ=1||L<Z},[TIO]!,[^TIO]!{Z<L}	1	2185FEEBFF	v115@9gwhHeAtwhh0EeBtwhg0RpBeR4Atglwhg0RpAeR4il?JeAgH		T,[^TIO]!{Z<L}	100.00%	12/12	21853AAAFF	
21853AAAFF	LJSZ	ILJSZO	[LJSZ]!{2:JS=1||3:JSZ=1||J<S},[TIO]!,[^TIO]!{S<J}	1	2185FFABFF	v115@9gQ4HewhR4Eehlwhg0Q4BtBeRpglwhi0BtAeRpglwh?JeAgH		T,[^TIO]!{S<J}	100.00%	12/12	21853AAAFE	
21853D9BFF	LJSZ	LLJSSZ	[LJSZ]!,*p3{LS=1}	1		v115@9gQ4FeglBeR4BeQ4BeglBeg0Q4BtR4Aeili0BtQ4Ae?ilJeAgH		[^LS]!	100.00%	120/120	21853E67FF	
21853E67FF	LJSZ	LJJSZZ	[LJSZ]!,*p3{JZ=1}	1		v115@/gg0FeAtBeg0BeAtBeBti0AeBtR4Atgli0AeAtR4il?JeAgH		[^JZ]!	100.00%	120/120	21853D9BFF	
21853E9AFF	LJSZ	LJSSZO	[LJSZ]!,*p3{SO=1}	1		v115@9gQ4IeR4FeR4g0Q4BtAeRpR4gli0BtRpilJeAgH		[^SO]!	100.00%	120/120	21853EA6FF	
21853EA6FF	LJSZ	LJSZZO	[LJSZ]!,*p3{ZO=1}	1		v115@GhCtFeBtg0BtRpAeR4Atgli0RpR4ilJeAgH		[^ZO]!	100.00%	120/120	21853E9AFF	
2185BEABF5	LJSZ	LJSZ	[LJSZ]!	1		v115@GhAtHeBtg0EeR4Atgli0BeR4ilJeAgH		*p7	100.00%	5040/5040	NULL	
