ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
400DBAAFFB	TILJS	ILJS	[TILJS]!	0FFFFFFFF8E00FF8EB2FF8EB2FC0CB2		v115@Dhi0whFeglQ4g0whFeglR4whFehlQ4whJeAgH		T,*p6	100.00%	5040/5040	4015BABBFB
400DBAAFFC	TILJS	ILJS	[TILJS]!	0FC0C00FF8EB2038200C3A208032008		v115@DhQ4hlwhFeR4glwhFeg0Q4glwhFei0whJeAgH		T,*p6	100.00%	5040/5040	4015BABBFC
400DBAAFFD	TILJS	ILJS	[TILJS]!	0000B00000B40000FC0B2DFC7000007		v115@Dhh0R4Feg0R4glFeg0ilFezhJeAgH		T,*p6	100.00%	5040/5040	4015BABBFD
400DBAAFFE	TILJS	ILJS	[TILJS]!	0C3F000C3A208FFAE38008E00008E00		v115@DhzhFeh0R4Feg0R4glFeg0ilJeAgH		T,*p6	100.00%	5040/5040	4015BABBFE
400DBAAFFF	TILJS	ILJS	[TILJS]!	0FF8E00FFFFFFE3FB4DE3FB4D03F34D		v115@9gwhQ4HewhR4Gewhg0Q4Feglwhi0CeilJeAgH		T,*p6	100.00%	5040/5040	4015BABBFF
4015BABBFB	TILJZ	ILJZ	[TILJZ]!	0FFFFFFFF8EB2FF8E00FFAE38FF2038		v115@9gwhilFewhglAtg0FewhBtg0FewhAth0PeAgH		T,*p6	100.00%	5040/5040	400DBAAFFB
4015BABBFC	TILJZ	ILJZ	[TILJZ]!	003F300038200FF8EB2308E82000C82		v115@9gwhh0AtFewhg0BtFewhg0AtglFewhilPeAgH		T,*p6	100.00%	5040/5040	400DBAAFFC
4015BABBFD	TILJZ	ILJZ	[TILJZ]!	0000E00000FC0000B40E3FB4D00000D		v115@9gBthlFeg0BtglFei0glFezhPeAgH		T,*p6	100.00%	5040/5040	400DBAAFFD
4015BABBFE	TILJZ	ILJZ	[TILJZ]!	0FF0000FFAE38C3A208038200038200		v115@9gzhFeBthlFeg0BtglFei0glPeAgH		T,*p6	100.00%	5040/5040	400DBAAFFE
4015BABBFF	TILJZ	ILJZ	[TILJZ]!	0E3FB00E3FB4DFFFFFFB2DFC700DFC7		v115@FhAtwhGeBtwhg0FeAtglwhi0CeilwhJeAgH		T,*p6	100.00%	5040/5040	400DBAAFFF
4019BABEFF	TILJO	ILJO	[TILJO]!	0FFFFFCFFFFFFFFFFFFFFFFFFF3FFFF		v115@Dhi0whFeRpg0whFeRpglwhFeilwhJeAgH9gwhilBei?HQawhglRpBexSgHQawhg0RpBexSgWQawhi0BeiWQaJeAgH9?gQaiWBezhQagWxSBeh0hlQagHxSBeg0RpglQaiHBeg0Rpgl?JeAgH9gzhBeTah0hlBehHhWg0RpglBegHxSgWg0RpglBegH?xSgWJeAgH9gxwxhGewSwhQeQLhWQaPeAgH		T,*p6	100.00%	5040/5040	NULL
4019FAFEFF	TILJO	ILO	[TILJO]p4{ILO=1}	0FFFCBCC3ECB2		v115@9gilFewhglHewhRpGewhRpGewhJeAgH		[TJ]!,*p5	99.96%	5038/5040	4019FBBEFF
4019FBBEFF	TILJO	IJO	[TILJO]p4{IJO=1}	0FFFF30CBF2B2		v115@9gwhFei0whHeg0whGeRpwhGeRpJeAgH		[TL]!,*p5	99.96%	5038/5040	4019FAFEFF
